GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ruoyi-system,com.ruoyi.system.domain.vo,MetaVo,82,0,2,0,35,0,14,0,13,0
ruoyi-system,com.ruoyi.system.domain.vo,RouterVo,66,0,0,0,28,0,19,0,19,0
ruoyi-system,com.ruoyi.evaluation.support,EvaluationTitleUtils,23,179,8,26,5,28,7,16,1,5
ruoyi-system,com.ruoyi.evaluation.service.impl,ResultAggServiceImpl,704,3448,90,206,104,646,100,159,23,88
ruoyi-system,com.ruoyi.evaluation.service.impl,ResultAggServiceImpl.GroupStats,9,0,0,0,4,0,1,0,1,0
ruoyi-system,com.ruoyi.evaluation.service.impl,VoterServiceImpl,735,167,68,10,149,40,56,8,18,7
ruoyi-system,com.ruoyi.evaluation.service.impl,ResultAggServiceImpl.GroupSummary,0,14,0,0,0,5,0,1,0,1
ruoyi-system,com.ruoyi.evaluation.service.impl,ExportJobServiceImpl,33,0,0,0,7,0,7,0,7,0
ruoyi-system,com.ruoyi.evaluation.service.impl,VoteServiceImpl,109,844,39,77,23,168,38,35,0,15
ruoyi-system,com.ruoyi.evaluation.service.impl,ResultAggServiceImpl.VoterGroupStats,0,6,0,0,0,3,0,1,0,1
ruoyi-system,com.ruoyi.evaluation.service.impl,ExcelImportPreviewService.CandidateImportMappingMode,0,21,0,0,0,2,0,1,0,1
ruoyi-system,com.ruoyi.evaluation.service.impl,RuleConfigServiceImpl.RangeCounts,0,9,0,0,0,4,0,1,0,1
ruoyi-system,com.ruoyi.evaluation.service.impl,RuleConfigServiceImpl,269,1348,74,98,47,268,69,66,5,44
ruoyi-system,com.ruoyi.evaluation.service.impl,FinalEvaluationServiceImpl,50,592,20,48,11,128,21,28,1,14
ruoyi-system,com.ruoyi.evaluation.service.impl,CandidateServiceImpl,558,125,52,14,132,28,46,10,14,9
ruoyi-system,com.ruoyi.evaluation.service.impl,ActivityServiceImpl,512,353,96,38,105,75,74,13,12,8
ruoyi-system,com.ruoyi.evaluation.service.impl,ExcelImportPreviewService,716,3034,141,233,108,490,126,121,0,60
ruoyi-system,com.ruoyi.system.domain,SysUserPost,32,0,0,0,11,0,6,0,6,0
ruoyi-system,com.ruoyi.system.domain,SysUserRole,32,0,0,0,11,0,6,0,6,0
ruoyi-system,com.ruoyi.system.domain,SysNotice,92,0,0,0,31,0,14,0,14,0
ruoyi-system,com.ruoyi.system.domain,SysRoleMenu,32,0,0,0,11,0,6,0,6,0
ruoyi-system,com.ruoyi.system.domain,SysLogininfor,66,0,0,0,28,0,19,0,19,0
ruoyi-system,com.ruoyi.system.domain,SysPost,95,0,0,0,32,0,14,0,14,0
ruoyi-system,com.ruoyi.system.domain,SysOperLog,129,0,0,0,55,0,37,0,37,0
ruoyi-system,com.ruoyi.system.domain,SysRoleDept,32,0,0,0,11,0,6,0,6,0
ruoyi-system,com.ruoyi.system.domain,SysConfig,85,0,0,0,28,0,12,0,12,0
ruoyi-system,com.ruoyi.system.domain,SysNoticeRead,54,0,0,0,19,0,10,0,10,0
ruoyi-system,com.ruoyi.system.domain,SysCache,94,0,0,0,27,0,11,0,11,0
ruoyi-system,com.ruoyi.system.service.impl,SysMenuServiceImpl,967,0,120,0,179,0,92,0,32,0
ruoyi-system,com.ruoyi.system.service.impl,SysPostServiceImpl,146,0,16,0,24,0,20,0,12,0
ruoyi-system,com.ruoyi.system.service.impl,SysDictTypeServiceImpl,224,0,20,0,50,0,24,0,14,0
ruoyi-system,com.ruoyi.system.service.impl,SysNoticeServiceImpl,33,0,0,0,7,0,7,0,7,0
ruoyi-system,com.ruoyi.system.service.impl,SysOperLogServiceImpl,27,0,0,0,8,0,6,0,6,0
ruoyi-system,com.ruoyi.system.service.impl,SysDeptServiceImpl,421,0,52,0,90,0,47,0,21,0
ruoyi-system,com.ruoyi.system.service.impl,SysDictDataServiceImpl,93,0,6,0,20,0,10,0,7,0
ruoyi-system,com.ruoyi.system.service.impl,SysLogininforServiceImpl,23,0,0,0,7,0,5,0,5,0
ruoyi-system,com.ruoyi.system.service.impl,SysConfigServiceImpl,263,0,24,0,56,0,26,0,14,0
ruoyi-system,com.ruoyi.system.service.impl,SysRoleServiceImpl,495,0,46,0,94,0,46,0,23,0
ruoyi-system,com.ruoyi.system.service.impl,SysUserServiceImpl,633,0,56,0,134,0,58,0,30,0
ruoyi-system,com.ruoyi.system.service.impl,SysNoticeReadServiceImpl,55,0,4,0,15,0,9,0,7,0
ruoyi-system,com.ruoyi.evaluation.domain,FinalEvaluation,70,122,0,0,20,35,20,35,20,35
ruoyi-system,com.ruoyi.evaluation.domain,VoteSubmitItem,0,17,0,0,0,5,0,5,0,5
ruoyi-system,com.ruoyi.evaluation.domain,Vote,41,102,0,0,12,29,12,29,12,29
ruoyi-system,com.ruoyi.evaluation.domain,ActivityRangeSetting,10,35,0,0,3,10,3,10,3,10
ruoyi-system,com.ruoyi.evaluation.domain,VoteConfirmRequest,0,17,0,0,0,5,0,5,0,5
ruoyi-system,com.ruoyi.evaluation.domain,Voter,56,45,0,0,16,13,16,13,16,13
ruoyi-system,com.ruoyi.evaluation.domain,ImportPreviewResult.SheetPreview,10,31,0,0,3,8,3,6,3,6
ruoyi-system,com.ruoyi.evaluation.domain,ActivityVoter,16,78,0,0,5,22,5,22,5,22
ruoyi-system,com.ruoyi.evaluation.domain,SelectionRequest,17,0,0,0,5,0,5,0,5,0
ruoyi-system,com.ruoyi.evaluation.domain,ActivityCreateRequest,17,0,0,0,5,0,5,0,5,0
ruoyi-system,com.ruoyi.evaluation.domain,ImportPreviewResult.ImportError,19,27,0,0,5,10,5,5,5,5
ruoyi-system,com.ruoyi.evaluation.domain,VoteSubmitRequest,0,17,0,0,0,5,0,5,0,5
ruoyi-system,com.ruoyi.evaluation.domain,ResultAgg,30,162,0,0,9,46,9,46,9,46
ruoyi-system,com.ruoyi.evaluation.domain,ExportJob,32,41,0,0,10,11,10,11,10,11
ruoyi-system,com.ruoyi.evaluation.domain,ImportPreviewResult,17,59,0,0,5,16,5,14,5,14
ruoyi-system,com.ruoyi.evaluation.domain,ActivityCandidate,38,119,0,0,12,33,12,33,12,33
ruoyi-system,com.ruoyi.evaluation.domain,RangePreviewRow,94,0,0,0,27,0,27,0,27,0
ruoyi-system,com.ruoyi.evaluation.domain,RuleConfig,0,38,0,0,0,11,0,11,0,11
ruoyi-system,com.ruoyi.evaluation.domain,Activity,45,56,0,0,13,16,13,16,13,16
ruoyi-system,com.ruoyi.evaluation.domain,Candidate,38,126,0,0,11,36,11,36,11,36
